name,Cd,Cl,NU,inlet_velocity,angle_of_attack_c,reynolds
airFoil2D_SST_58.253_4.47_1.554_4.779_1.0_9.828,0.009289060319869497,0.0021661577341633817,1.5498148291427463e-05,58.253,4.47,3758707.0987197645
airFoil2D_SST_35.562_1.564_0.955_0.0_11.382,0.009312825537614268,0.0014905838393697469,1.5498148291427463e-05,35.562,1.5639999999999998,2294596.704799277
airFoil2D_SST_60.23_2.984_6.976_4.303_9.408,0.011219588284545582,0.003857888087077791,1.5498148291427463e-05,60.23,2.984,3886270.7252140045
airFoil2D_SST_37.26_8.498_2.099_4.252_6.054,0.013902057932140645,0.007552059330031361,1.5498148291427463e-05,37.26,8.498,2404158.1806653463
airFoil2D_SST_46.138_8.316_1.46_7.535_0.0_7.129,0.012275408679289009,0.005675446182011725,1.5498148291427463e-05,46.138,8.316,2977000.808897954
airFoil2D_SST_88.56_10.656_1.649_4.18_0.0_5.627,0.014541981420258344,0.009269130930957254,1.5498148291427463e-05,88.56,10.655999999999999,5714231.038103143
airFoil2D_SST_70.657_-4.057_4.525_0.0_13.307,0.009200609793539196,0.0021372303536327255,1.5498148291427463e-05,70.657,-4.057,4559060.777543515
airFoil2D_SST_64.825_12.62_2.925_4.496_6.121,0.023858907841448562,0.019057051543704857,1.5498148291427463e-05,64.825,12.620000000000001,4182757.757961114
airFoil2D_SST_85.129_1.736_1.952_3.253_1.0_17.464,0.009509730225520499,0.002384531486565962,1.5498148291427463e-05,85.129,1.736,5492849.75206281
airFoil2D_SST_90.188_13.394_3.579_5.456_1.0_15.563,0.02255566776928372,0.016014156457556352,1.5498148291427463e-05,90.188,13.394,5819275.845352826
airFoil2D_SST_72.428_5.146_1.969_3.044_1.0_11.375,0.009589624839108215,0.0026501573821238337,1.5498148291427463e-05,72.428,5.146,4673332.493538103
airFoil2D_SST_40.585_14.545_0.315_2.716_9.25,0.02672676903237854,0.021405486179699586,1.5498148291427463e-05,40.585,14.545000000000002,2618699.9399437224
airFoil2D_SST_37.261_4.879_3.571_7.018_1.0_9.35,0.01111870776979073,0.0034128357443828907,1.5498148291427463e-05,37.261,4.879,2404222.7045027236
airFoil2D_SST_92.923_8.147_2.34_7.191_1.0_15.373,0.01251142468153128,0.005671900098995513,1.5498148291427463e-05,92.923,8.147,5995748.540578797
airFoil2D_SST_78.374_-1.964_3.817_6.838_11.44,0.008686855941721222,0.0017369843455622147,1.5498148291427463e-05,78.374,-1.964,5056991.230581477
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,0.01391139202789805,0.006900137202156105,1.5498148291427463e-05,33.243,9.415,2144965.925922118
airFoil2D_SST_49.328_9.718_3.178_4.924_19.726,0.019608790579032365,0.01192727462242218,1.5498148291427463e-05,49.328,9.718,3182831.8501304407
airFoil2D_SST_69.102_-4.625_3.128_4.279_1.0_8.06,0.008828073687099711,0.002469531842987429,1.5498148291427463e-05,69.102,-4.625,4458726.210422351
airFoil2D_SST_63.972_0.897_2.419_6.034_9.308,0.008402819740444979,0.0013083015960023245,1.5498148291427463e-05,63.972,0.8969999999999999,4127718.924678571
airFoil2D_SST_46.407_7.986_2.488_3.249_1.0_7.516,0.011786334177131201,0.004881055855541912,1.5498148291427463e-05,46.407,7.986,2994357.7211523545
airFoil2D_SST_65.162_-0.97_2.814_4.126_1.0_10.627,0.008323166090900076,0.001289627177065209,1.5498148291427463e-05,65.162,-0.9700000000000001,4204502.291157148
airFoil2D_SST_86.375_5.649_5.559_3.348_12.866,0.012001186336334449,0.00497983014115601,1.5498148291427463e-05,86.375,5.648999999999999,5573246.453434495
airFoil2D_SST_53.178_-1.488_0.143_6.501_1.0_9.5,0.008336513453936689,0.0010816811517788078,1.5498148291427463e-05,53.178,-1.4879999999999998,3431248.6240317174
airFoil2D_SST_62.893_-0.786_3.167_0.0_17.071,0.009625094813390873,0.0021811232476379935,1.5498148291427463e-05,62.893,-0.786,4058097.7041488364
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,0.01061697018862897,0.003026560394458813,1.5498148291427463e-05,32.677,5.679,2108445.4339667615
airFoil2D_SST_83.061_-2.365_3.764_5.776_1.0_15.89,0.009158647777701472,0.0021605245355342815,1.5498148291427463e-05,83.061,-2.365,5359414.456367267
airFoil2D_SST_59.227_11.447_1.959_6.729_0.0_16.475,0.018071409963093577,0.010962747931477413,1.5498148291427463e-05,59.227,11.447000000000001,3821553.316324919
airFoil2D_SST_55.607_-1.146_3.498_5.408_6.232,0.008003552911234895,0.000933456917654235,1.5498148291427463e-05,55.607,-1.146,3587977.0250203414
